Time, Fx, Fy, Fz, Tx, Ty, Yz, Fx_tmp, Fy_tmp, Fz_tmp, Tx_tmp, Ty_tmp, Tz_tmp
0.088, 0, 0, 0, 0, 0, -0.005, 0.12, 0.06, 0.12, 0.0065, 0.0035, -0.005, 
0.188, 0, 0, 0, 0, 0, 0, 0.12, 0.24, -0.06, 0.0105, 0.006, -0.0035, 
0.288, 0, 0, 0, 0, 0, 0, 0.02, 0.06, 0.2, 0.0045, -0.0035, -0.0015, 
0.388, 0, 0, 0, 0, 0, 0, 0.2, 0, -0.3, 0.006, -0.0035, 0.003, 
0.488, 0, 0, 0, 0, 0, 0, 0, 0.02, -0.1, 0.0065, 0.001, 0.0005, 
0.588, 0, 0, 0, 0, 0, 0, 0.1, -0.04, 0, 0.0015, -0.008, -0.001, 
0.688, 0, 0, 0, 0, 0, 0, 0, 0.04, 0.14, -0.0005, -0.005, -0.0025, 
0.788, 0, 0, 0, 0, 0, 0, 0.02, 0.12, 0.08, 0.005, -0.001, -0.0015, 
0.888, 0, 0, 0, 0, 0, 0, 0.22, -0.3, 0.18, -0.013, 0, 0.0045, 
0.988, 0, 0, 0, 0, 0, 0, 0, 0.06, -0.48, -0.0075, -0.0085, -0.002, 
1.088, 0, 0, 0, 0, 0, 0, -0.18, -0.18, 0.04, -0.005, 0.0075, 0.004, 
1.188, 0, 0, 0, 0, 0, 0, 0.04, 0.02, 0.06, -0.0015, -0.0025, -0.003, 
1.288, 0, 0, 0, 0, 0, 0, -0.08, 0, 0.02, 0.0085, 0, 0, 
1.388, 0, 0, 0, 0, 0, 0, 0.04, 0.22, -0.24, 0.0015, 0.0065, -0.002, 
1.488, 0, 0, 0, 0, 0, 0.0065, 0.06, -0.38, 0, -0.0065, 0, 0.0065, 
1.588, 0, 0, 0, 0, 0, 0.0055, 0, -0.08, -0.04, -0.003, 0.0005, 0.0055, 
1.688, 0, 0, 0, 0, 0, 0, 0, 0.04, -0.12, 0.0005, 0, -0.001, 
1.788, 0, 0, 0, 0, 0, 0, 0.08, -0.08, -0.22, -0.0085, -0.0045, 0.0025, 
1.888, 0, 0, 0, 0, 0, 0.005, 0.1, -0.2, 0, 0.0025, 0.0015, 0.005, 
1.988, 0, 0, 0, 0, 0, 0, -0.02, -0.18, -0.16, -0.011, 0.0055, 0.003, 
2.088, 0, 0, 0, 0, 0, 0, 0.06, -0.2, -0.12, 0.004, 0, 0.003, 
2.188, 0, 0, 0, 0, 0, 0, 0.1, 0.26, 0.08, -0.008, 0.004, -0.003, 
2.288, 0, 0, 0, 0, 0, 0, -0.26, -0.08, -0.1, -0.003, 0.0115, 0.003, 
2.388, 0, 0, 0, 0, 0, 0, 0.02, 0.08, 0.06, 0.001, 0.0025, 0.001, 
2.488, 0, 0, 0, 0, 0, 0, 0.02, 0.28, -0.08, 0.0045, 0.005, -0.0025, 
2.588, 0, 0, 0, 0, 0, 0, -0.14, 0, 0.18, 0.0115, -0.0005, -0.0015, 
2.688, 0, 0, 0, 0, 0, 0, -0.04, 0, 0.08, 0.004, 0.004, 0.0005, 
2.788, 0, 0, 0, 0, 0, 0, 0.16, 0.06, -0.38, 0.006, -0.0045, -0.003, 
2.888, 0, 0, 0, 0, 0, 0.0065, -0.14, -0.2, -0.04, -0.0085, 0.0055, 0.0065, 
2.988, 0, 0, 0, 0, 0, 0, 0, -0.18, -0.26, -0.01, -0.005, 0.0025, 
3.088, 0, 0, 0, 0, 0, 0, -0.12, 0.1, -0.22, 0.0005, 0.0035, -0.002, 
3.188, 0, 0, 0, 0, 0, 0, -0.1, -0.2, 0.44, -0.009, 0.003, 0.004, 
3.288, 0, 0, 0, 0, 0, 0, 0.04, 0.12, -0.44, -0.0065, -0.008, -0.0025, 
3.388, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.18, 0.006, -0.0035, -0.0015, 
3.488, 0, 0, 0, 0, 0, 0, -0.06, -0.26, -0.12, 0.007, -0.0025, 0.001, 
3.588, 0, 0, 0, 0, 0, 0, 0, 0.16, -0.02, 0.0025, -0.0035, -0.004, 
3.688, 0, 0, 0, 0, 0, 0, -0.08, 0.06, -0.44, -0.0045, -0.0115, 0.0025, 
3.788, 0, 0, 0, 0, 0, 0, -0.2, -0.14, 0.16, -0.015, 0.008, 0.0015, 
3.888, 0, 0, 0, 0, 0, 0, -0.14, 0.08, -0.2, -0.0035, 0.008, 0.0045, 
3.988, 0, 0, 0, 0, 0, 0, 0.04, -0.18, 0.2, -0.007, -0.0015, 0.001, 
4.088, 0, 0, 0, 0, 0, 0, 0.1, -0.38, -0.12, -0.002, 0.0035, 0.0045, 
4.188, 0, 0, 0, 0, 0, 0, -0.02, -0.06, -0.18, -0.006, 0.002, 0.001, 
4.288, 0, 0, 0, 0, 0, 0, -0.08, -0.02, 0.2, 0.002, 0.0065, -0.001, 
4.388, 0, 0, 0, 0, 0, -0.005, 0.16, 0.1, 0, 0.004, 0.0005, -0.005, 
4.488, 0, 0, 0, 0, 0, 0, 0.06, 0.02, -0.04, -0.002, 0, 0.0015, 
4.588, 0, 0, 0, 0, 0, 0, -0.22, -0.2, 0.3, -0.0045, 0.003, 0.0015, 
4.688, 0, 0, 0, 0, 0, 0.0065, 0.18, -0.26, -0.34, -0.0075, -0.007, 0.0065, 
4.788, 0, 0, 0, 0, 0, 0, 0.18, -0.24, 0.1, 0, 0.0025, 0.0025, 
4.888, 0, 0, 0, 0, 0, 0, 0.08, -0.16, 0.46, -0.011, 0.006, 0.0025, 
4.988, 0, 0, 0, 0, 0, 0, 0.14, 0.26, 0, 0.0115, 0.003, -0.004, 
5.088, 0, 0, 0, 0, 0, 0, 0.14, 0.08, -0.22, 0.0045, -0.0025, -0.001, 
5.188, 0, 0, 0, 0, 0, 0, 0.32, 0.18, -0.3, 0.004, -0.0005, -0.0015, 
5.288, 0, 0, 0, 0, 0, 0, -0.06, -0.06, 0.18, -0.003, 0.011, 0.0015, 
5.388, 0, 0, 0, 0, 0, 0, 0.3, -0.3, 0.18, -0.0105, 0.005, 0.003, 
5.488, 0, 0, 0, 0, 0, 0, 0.52, -0.24, -0.2, -0.01, -0.0035, 0, 
5.588, 0, 0, 0, 0, 0, 0, 0.16, 0.24, 0.02, -0.004, 0.0055, 0.0005, 
5.688, 0, 0, 0, 0, 0, 0, 0.3, -0.1, 0.2, -0.005, 0.0015, 0.003, 
5.788, 0, 0, 0, 0, 0, 0, 0.18, 0.06, -0.18, 0.006, 0.003, -0.0025, 
5.888, 0, 0, 0, 0, 0, 0, 0.26, 0.02, 0.02, 0.0045, 0.006, -0.004, 
5.988, 0, 0, 0, 0, 0, 0, 0.74, 0.12, 0, -0.0055, 0.0055, 0.001, 
6.088, 0, 0, 0, 0, 0, 0, 0.66, 0, -0.16, -0.004, 0.008, 0.002, 
6.188, 0, 0, 0, 0, 0, 0, 0.38, 0.08, -0.24, 0.004, -0.001, -0.002, 
6.288, 0, 0, 0, 0, 0, 0, 0.76, 0.12, -0.16, 0.003, 0.0115, 0.004, 
6.388, 0, 0, 0, 0, 0, 0.005, 0.38, 0.08, 0.02, -0.0025, 0.013, 0.005, 
6.488, 0, 0, 0, 0, 0, 0, 0.18, -0.06, -0.06, 0.006, -0.0005, 0.003, 
6.588, 0, 0, 0, 0, 0, 0, 0.44, -0.04, -0.1, -0.0025, -0.002, -0.003, 
6.688, 0, 0, 0, 0, 0, 0, 0.64, 0.38, -0.14, 0.003, 0.0195, -0.0045, 
6.788, 0.98, 0, 0, 0, 0, 0.006, 0.98, -0.06, -0.2, 0.012, 0.0135, 0.006, 
6.888, 0, 0, 0, 0, 0, 0.0075, 0.58, -0.44, -0.2, 0, 0.005, 0.0075, 
6.988, 1.3, 0, 0, 0, 0, 0, 1.3, 0, -0.02, 0.003, 0.007, 0.004, 
7.088, 1.14, 0, 0, 0, 0, 0, 1.14, -0.4, -0.26, 0.0005, 0.0015, 0.001, 
7.188, 1, 0, 0, 0, 0, 0, 1, 0.16, -0.52, -0.0235, 0.0165, 0.001, 
7.288, 0, 0, 0, 0, 0, 0, 0.76, -0.18, 0.3, 0.003, 0.011, 0.004, 
7.388, 0.82, 0, 0, 0, 0, 0, 0.82, -0.2, -0.28, 0.0015, 0.008, 0.002, 
7.488, 1.3, 0, 0, 0, 0, 0.005, 1.3, -0.02, -0.18, 0, 0.008, 0.005, 
7.588, 0.94, 0, 0, 0, 0, 0, 0.94, 0, -0.14, -0.0025, 0.0115, 0.0015, 
7.688, 1.54, 0, 0, 0, 0, -0.005, 1.54, -0.22, -0.58, -0.0105, -0.009, -0.005, 
7.788, 1.14, 0, 0, 0, 0, 0, 1.14, 0.18, 0, 0.0005, 0.031, 0, 
7.888, 1.7, 0, 0, 0, 0, 0, 1.7, -0.24, -0.54, -0.0135, 0.024, -0.0015, 
7.988, 1.28, 0, 0, 0, 0, 0, 1.28, -0.18, -0.34, -0.0175, -0.007, 0.003, 
8.088, 1.3, 0, 0, 0, 0, -0.0115, 1.3, 0, -0.16, -0.005, 0.002, -0.0115, 
8.188, 1.54, 0, 0, 0, 0, -0.0105, 1.54, 0.22, -0.72, -0.001, 0.029, -0.0105, 
8.288, 1.1, 0, 0, 0, 0, 0.0155, 1.1, -0.16, -0.62, -0.0145, 0.028, 0.0155, 
8.388, 1.06, 0, -0.82, 0, 0, 0.0125, 1.06, -0.32, -0.82, -0.003, 0.027, 0.0125, 
8.488, 1.56, 0, 0, 0, 0, 0, 1.56, 0.04, -0.2, 0, 0.0015, -0.0035, 
8.588, 1.52, 0, -0.92, 0, 0, 0, 1.52, 0, -0.92, 0.004, 0.0105, 0.0045, 
8.688, 1.26, 0, 0, 0, 0, -0.01, 1.26, -0.04, -0.58, -0.0105, 0.01, -0.01, 
8.788, 1.34, 0, 0, 0, 0, 0, 1.34, 0.1, -0.36, -0.0095, 0.035, 0, 
8.888, 1.56, 0, 0, 0, 0, 0, 1.56, 0.02, -0.78, -0.013, 0.0165, 0.004, 
8.988, 1.5, 0, -0.98, 0, 0, 0, 1.5, 0.18, -0.98, 0.008, 0.019, 0, 
9.088, 1.72, 0, 0, 0, 0, 0.008, 1.72, 0.06, -0.52, 0.007, 0.01, 0.008, 
9.188, 1.52, 0, 0, 0, 0, 0, 1.52, 0.06, -0.78, -0.0015, 0.0155, 0.0035, 
9.288, 1.62, 0, 0, 0, 0, 0, 1.62, -0.42, -0.74, -0.0105, -0.0085, 0.0045, 
9.388, 1.84, 0, 0, 0, 0, 0, 1.84, 0.1, -0.58, 0.0025, -0.0055, 0, 
9.488, 1.52, 0, -0.98, 0, 0, 0, 1.52, -0.14, -0.98, -0.001, 0.0165, 0.001, 
9.588, 1.54, 0, 0, 0, 0, 0, 1.54, -0.08, -0.76, -0.008, 0.0325, -0.0045, 
9.688, 1.58, 0, -1, 0, 0, 0, 1.58, 0.12, -1, -0.01, 0.018, -0.0045, 
9.788, 1.88, 0, -1.1, 0, 0, 0, 1.88, 0.3, -1.1, -0.0005, 0.0295, 0, 
9.888, 1.66, 0, -0.88, 0, 0, -0.0075, 1.66, -0.04, -0.88, -0.0075, 0.022, -0.0075, 
9.988, 1.76, 0, -1.06, 0, 0, 0, 1.76, -0.04, -1.06, 0.004, 0.02, 0.0015, 
10.088, 1.56, 0, -1.04, 0, 0, 0.009, 1.56, -0.12, -1.04, -0.0025, 0.036, 0.009, 
10.188, 1.66, 0, -1.1, 0, 0, -0.006, 1.66, 0, -1.1, -0.012, 0.0205, -0.006, 
10.288, 1.72, 0, 0, 0, 0, 0, 1.72, -0.06, -0.36, 0.001, 0.0225, -0.0045, 
10.388, 1.74, 0, -1.06, 0, 0, 0, 1.74, -0.28, -1.06, -0.0035, 0.017, 0, 
10.488, 1.7, 0, -1.16, 0, 0, 0, 1.7, -0.22, -1.16, -0.003, 0.012, 0.0015, 
10.588, 1.44, 0, -1.42, 0, 0, 0, 1.44, 0.1, -1.42, -0.002, 0.0155, -0.0005, 
10.688, 1.7, 0, -1, 0, 0, -0.0125, 1.7, 0.14, -1, -0.007, 0.027, -0.0125, 
10.788, 1.82, 0, -1.24, 0, 0, 0.0075, 1.82, 0.02, -1.24, -0.0025, 0.0265, 0.0075, 
10.888, 1.7, 0, -1.36, 0, 0, 0, 1.7, -0.36, -1.36, -0.0045, 0.016, 0.0045, 
10.988, 1.84, 0, -1.3, 0, 0, 0, 1.84, -0.08, -1.3, 0.0025, 0.0175, -0.0045, 
