Time, q_r1, q_r2, q_r3, q_r4, q_r5, q_r6, dq_r1, dq_r2, dq_r3, dq_r4, dq_r5, dq_r6, q_n1, q_n2, q_n3, q_n4, q_n5, q_n6, dq_n1, dq_n2, dq_n3, dq_n4, dq_n5, dq_n6
0.086, 0.00251094, -0.0911895, -2.19121, -0.318158, 0.0862371, 0.300003, -0, -0, 0, -0, -0.00664472, -0.00284774, 0.00251355, -0.0911689, -2.19109, -0.318162, 0.0862607, 0.299966, 6.8228e-06, 0.000666374, 0.00457847, 0.00228971, -0.0106225, -0.00217382, 
0.186, 0.00251094, -0.0911823, -2.1907, -0.317841, 0.0838336, 0.299754, -0, -0, 0.0142622, 0.00569547, -0.0417668, -0.00379698, 0.00251115, -0.0909984, -2.18992, -0.31757, 0.0832454, 0.299406, -6.50557e-05, 0.00299588, 0.0204378, 0.0104403, -0.0541867, -0.00984818, 
0.286, 0.00251174, -0.0910611, -2.1881, -0.31661, 0.0760706, 0.298748, -0, -0, 0.0419943, 0.0180357, -0.112011, -0.0161372, 0.00249899, -0.0905255, -2.1867, -0.315917, 0.0746318, 0.29785, -0.00018371, 0.00665514, 0.0453098, 0.0232915, -0.121515, -0.0219051, 
0.386, 0.00251015, -0.0905152, -2.18245, -0.313881, 0.0604992, 0.296508, -0, 0.0103005, 0.0736881, 0.0379698, -0.206936, -0.0294266, 0.00247365, -0.0896343, -2.18064, -0.312795, 0.0583571, 0.294917, -0.000325437, 0.0113058, 0.0769028, 0.0396337, -0.206421, -0.0372178, 
0.486, 0.00251015, -0.0892942, -2.17323, -0.30937, 0.0356764, 0.292632, -0, 0.0150546, 0.114098, 0.054107, -0.30186, -0.0474623, 0.00243357, -0.0882417, -2.17117, -0.307912, 0.0329507, 0.290333, -0.000477131, 0.0166341, 0.113098, 0.0583361, -0.303248, -0.0547488, 
0.586, 0.00250936, -0.0875296, -2.1602, -0.302811, 0.000558156, 0.286889, -0, 0.0190163, 0.15213, 0.0692949, -0.419567, -0.0664472, 0.00237808, -0.0862946, -2.15793, -0.301084, -0.00251845, 0.283925, -0.000632931, 0.0223517, 0.151946, 0.0783597, -0.406862, -0.0735499, 
0.686, 0.00250857, -0.0851692, -2.14324, -0.294165, -0.0450047, 0.279352, -0, 0.0261474, 0.185409, 0.102519, -0.493608, -0.0863813, 0.00230693, -0.0837672, -2.14075, -0.292228, -0.0484933, 0.27561, -0.000790039, 0.0281962, 0.191674, 0.0987668, -0.512631, -0.0927619, 
0.786, 0.00250302, -0.0822043, -2.12224, -0.283394, -0.101156, 0.269759, -0, 0.0332785, 0.231365, 0.113909, -0.615111, -0.111062, 0.00222012, -0.080659, -2.11962, -0.281346, -0.104978, 0.265385, -0.00094546, 0.0339321, 0.23068, 0.118726, -0.616407, -0.111615, 
0.886, 0.00249827, -0.0786395, -2.09744, -0.270761, -0.167516, 0.25816, -0, 0.041202, 0.263851, 0.135742, -0.710985, -0.128148, 0.00211804, -0.0769914, -2.09468, -0.268522, -0.171585, 0.253322, -0.00109449, 0.0393509, 0.267545, 0.137513, -0.714511, -0.129426, 
0.986, 0.00248638, -0.0745042, -2.06912, -0.25616, -0.243237, 0.24486, -0, 0.0451637, 0.298714, 0.152829, -0.793569, -0.13859, 0.00200163, -0.0728054, -2.06622, -0.253904, -0.247584, 0.239555, -0.00123093, 0.0442719, 0.301031, 0.154514, -0.803724, -0.145605, 
