Time, xr, yr, zr, q0r, q1r, q2r, q3r, xn, yn, zn, q0n, q1n, q2n, q3n, xd, yd, zd, q0d, q1d, q2d, q3d
0.001, 0, 0, 0, 0.5, 0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 
0.002, 0.298266, -0.172929, 0.336185, 0.077455, 0.996658, 0.025858, -0.00218924, 0.298265, -0.172927, 0.336184, 0.0774547, 0.996658, 0.0258594, -0.0021903, 0, 0, 0, 0.0774547, 0.996658, 0.0258594, -0.0021903, 
0.003, 0.298266, -0.172929, 0.336185, 0.0774551, 0.996658, 0.025858, -0.00218926, 0.298266, -0.172926, 0.336182, 0.0774989, 0.996655, 0.0258611, -0.00218973, 0, 0, 0, 0.0774989, 0.996655, 0.0258611, -0.00218973, 
0.004, 0.298266, -0.172928, 0.336185, 0.077456, 0.996658, 0.025859, -0.00218855, 0.298269, -0.172921, 0.336175, 0.0776316, 0.996644, 0.0258662, -0.00218804, 0, 0, 0, 0.0776316, 0.996644, 0.0258662, -0.00218804, 
0.005, 0.298263, -0.172923, 0.33618, 0.0774558, 0.996658, 0.0258639, -0.00219398, 0.298272, -0.172915, 0.336166, 0.077778, 0.996633, 0.0258732, -0.00218504, 0, 0, 0, 0.077778, 0.996633, 0.0258732, -0.00218504, 
0.006, 0.298257, -0.172917, 0.336173, 0.0774561, 0.996658, 0.0258707, -0.00220128, 0.298275, -0.172909, 0.336157, 0.0778737, 0.996625, 0.0258802, -0.00218082, 0, 0, 0, 0.0778737, 0.996625, 0.0258802, -0.00218082, 
0.007, 0.298249, -0.172909, 0.336163, 0.0774573, 0.996657, 0.0258801, -0.00221159, 0.298278, -0.172903, 0.336148, 0.0779362, 0.99662, 0.0258874, -0.00217582, 0, 0, 0, 0.0779362, 0.99662, 0.0258874, -0.00217582, 
0.008, 0.298241, -0.1729, 0.336153, 0.0774573, 0.996657, 0.0258904, -0.00222272, 0.298281, -0.172897, 0.336139, 0.0779769, 0.996616, 0.0258945, -0.00217034, 0, 0, 0, 0.0779769, 0.996616, 0.0258945, -0.00217034, 
0.009, 0.298234, -0.17289, 0.336143, 0.0774576, 0.996657, 0.0259014, -0.00223165, 0.298284, -0.172891, 0.336129, 0.0780031, 0.996614, 0.0259018, -0.00216455, 0, 0, 0, 0.0780031, 0.996614, 0.0259018, -0.00216455, 
0.01, 0.298231, -0.172882, 0.336137, 0.0774586, 0.996656, 0.0259116, -0.00223519, 0.298286, -0.172885, 0.33612, 0.07802, 0.996613, 0.025909, -0.0021586, 0, 0, 0, 0.07802, 0.996613, 0.025909, -0.0021586, 
0.011, 0.29823, -0.172874, 0.336131, 0.0774602, 0.996656, 0.0259219, -0.00223906, 0.298289, -0.172879, 0.336111, 0.0780306, 0.996612, 0.0259162, -0.00215256, 0, 0, 0, 0.0780306, 0.996612, 0.0259162, -0.00215256, 
0.012, 0.298229, -0.172867, 0.336127, 0.0774594, 0.996656, 0.0259293, -0.00224143, 0.298292, -0.172873, 0.336102, 0.0780372, 0.996611, 0.0259234, -0.00214649, 0, 0, 0, 0.0780372, 0.996611, 0.0259234, -0.00214649, 
0.013, 0.29823, -0.172862, 0.336124, 0.0774603, 0.996655, 0.025937, -0.00224134, 0.298295, -0.172867, 0.336094, 0.078041, 0.996611, 0.0259306, -0.00214043, 0, 0, 0, 0.078041, 0.996611, 0.0259306, -0.00214043, 
0.014, 0.298234, -0.172856, 0.336124, 0.0774599, 0.996655, 0.0259438, -0.00223761, 0.298297, -0.172861, 0.336085, 0.0780431, 0.99661, 0.0259378, -0.00213438, 0, 0, 0, 0.0780431, 0.99661, 0.0259378, -0.00213438, 
0.015, 0.298235, -0.172851, 0.336123, 0.0774608, 0.996655, 0.0259509, -0.00223813, 0.2983, -0.172856, 0.336076, 0.078044, 0.99661, 0.025945, -0.00212838, 0, 0, 0, 0.078044, 0.99661, 0.025945, -0.00212838, 
0.016, 0.298237, -0.172845, 0.336121, 0.0774599, 0.996655, 0.0259575, -0.00223885, 0.298303, -0.17285, 0.336067, 0.0780442, 0.99661, 0.0259522, -0.00212243, 0, 0, 0, 0.0780442, 0.99661, 0.0259522, -0.00212243, 
0.017, 0.298238, -0.172841, 0.33612, 0.0774607, 0.996655, 0.0259633, -0.00223804, 0.298305, -0.172844, 0.336058, 0.0780438, 0.99661, 0.0259594, -0.00211654, 0, 0, 0, 0.0780438, 0.99661, 0.0259594, -0.00211654, 
0.018, 0.298238, -0.172834, 0.336118, 0.0774591, 0.996655, 0.0259703, -0.00223994, 0.298308, -0.172838, 0.336049, 0.0780432, 0.99661, 0.0259665, -0.00211071, 0, 0, 0, 0.0780432, 0.99661, 0.0259665, -0.00211071, 
0.019, 0.298238, -0.172828, 0.336114, 0.0774605, 0.996654, 0.0259778, -0.00224233, 0.29831, -0.172832, 0.336041, 0.0780423, 0.996609, 0.0259736, -0.00210494, 0, 0, 0, 0.0780423, 0.996609, 0.0259736, -0.00210494, 
0.02, 0.298238, -0.172823, 0.33611, 0.0774597, 0.996654, 0.0259847, -0.00224506, 0.298313, -0.172826, 0.336032, 0.0780412, 0.996609, 0.0259808, -0.00209924, 0, 0, 0, 0.0780412, 0.996609, 0.0259808, -0.00209924, 
0.021, 0.298236, -0.172817, 0.336106, 0.0774612, 0.996654, 0.0259917, -0.00224806, 0.298315, -0.17282, 0.336023, 0.07804, 0.996609, 0.0259879, -0.0020936, 0, 0, 0, 0.07804, 0.996609, 0.0259879, -0.0020936, 
0.022, 0.298235, -0.17281, 0.336101, 0.0774602, 0.996654, 0.0259992, -0.00225102, 0.298318, -0.172814, 0.336015, 0.0780388, 0.996609, 0.0259949, -0.00208803, 0, 0, 0, 0.0780388, 0.996609, 0.0259949, -0.00208803, 
0.023, 0.298234, -0.172804, 0.336096, 0.0774599, 0.996654, 0.0260071, -0.00225308, 0.29832, -0.172809, 0.336006, 0.0780375, 0.996609, 0.026002, -0.00208253, 0, 0, 0, 0.0780375, 0.996609, 0.026002, -0.00208253, 
0.024, 0.298232, -0.172799, 0.336091, 0.0774604, 0.996653, 0.0260135, -0.00225745, 0.298322, -0.172803, 0.335997, 0.0780362, 0.996609, 0.0260091, -0.0020771, 0, 0, 0, 0.0780362, 0.996609, 0.0260091, -0.0020771, 
0.025, 0.298232, -0.172793, 0.336087, 0.0774624, 0.996653, 0.0260201, -0.00225863, 0.298325, -0.172797, 0.335989, 0.0780348, 0.996609, 0.0260161, -0.00207173, 0, 0, 0, 0.0780348, 0.996609, 0.0260161, -0.00207173, 
0.026, 0.298232, -0.172788, 0.336083, 0.0774617, 0.996653, 0.0260257, -0.00226035, 0.298327, -0.172791, 0.33598, 0.0780335, 0.996609, 0.0260231, -0.00206643, 0, 0, 0, 0.0780335, 0.996609, 0.0260231, -0.00206643, 
0.027, 0.298233, -0.172784, 0.33608, 0.0774619, 0.996653, 0.026031, -0.00226016, 0.298329, -0.172785, 0.335972, 0.0780321, 0.996609, 0.0260301, -0.00206119, 0, 0, 0, 0.0780321, 0.996609, 0.0260301, -0.00206119, 
0.028, 0.298233, -0.17278, 0.336078, 0.0774611, 0.996653, 0.0260362, -0.00226075, 0.298331, -0.17278, 0.335963, 0.0780307, 0.996609, 0.0260371, -0.00205603, 0, 0, 0, 0.0780307, 0.996609, 0.0260371, -0.00205603, 
0.029, 0.298233, -0.172778, 0.336076, 0.0774615, 0.996653, 0.0260395, -0.00226129, 0.298333, -0.172774, 0.335955, 0.0780293, 0.996609, 0.026044, -0.00205092, 0, 0, 0, 0.0780293, 0.996609, 0.026044, -0.00205092, 
0.03, 0.298234, -0.172774, 0.336076, 0.0774619, 0.996653, 0.0260433, -0.00226126, 0.298336, -0.172768, 0.335947, 0.0780279, 0.996609, 0.026051, -0.00204589, 0, 0, 0, 0.0780279, 0.996609, 0.026051, -0.00204589, 
0.031, 0.298236, -0.172773, 0.336075, 0.077462, 0.996652, 0.0260457, -0.00226036, 0.298338, -0.172763, 0.335938, 0.0780264, 0.996609, 0.0260579, -0.00204092, 0, 0, 0, 0.0780264, 0.996609, 0.0260579, -0.00204092, 
0.032, 0.298235, -0.17277, 0.336075, 0.0774624, 0.996652, 0.0260479, -0.00226305, 0.29834, -0.172757, 0.33593, 0.078025, 0.996609, 0.0260648, -0.00203601, 0, 0, 0, 0.078025, 0.996609, 0.0260648, -0.00203601, 
0.033, 0.298236, -0.172769, 0.336075, 0.077462, 0.996652, 0.0260494, -0.00226216, 0.298342, -0.172751, 0.335922, 0.0780235, 0.996608, 0.0260717, -0.00203117, 0, 0, 0, 0.0780235, 0.996608, 0.0260717, -0.00203117, 
0.034, 0.298237, -0.172769, 0.336076, 0.077461, 0.996652, 0.0260494, -0.00226237, 0.298344, -0.172745, 0.335914, 0.078022, 0.996608, 0.0260786, -0.00202639, 0, 0, 0, 0.078022, 0.996608, 0.0260786, -0.00202639, 
