Time, tau_r1, tau_r2, tau_r3, tau_r4, tau_r5, tau_r6, tau_n1, tau_n2, tau_n3, tau_n4, tau_n5, tau_n6,
0.086, -0.189415, 23.8663, 21.1582, -3.89008, 1.65977, -0.311206, -0.0182622, 23.7253, 19.1925, -4.30907, 2.22851, -0.00141312, 
0.186, -0.189415, 28.2229, 25.7254, -3.16393, -0.363074, -0.829883, -0.0355013, 23.7903, 19.2626, -4.32422, 2.22416, -0.00141241, 
0.286, -0.189415, 34.663, 27.1235, -2.80086, -0.985486, -1.34856, -0.0481083, 23.8473, 19.3381, -4.3521, 2.21527, -0.00140729, 
0.386, -0.757662, 38.8302, 29.2673, -2.85272, -0.67428, -1.6079, -0.056241, 23.8999, 19.4264, -4.39809, 2.19984, -0.00139586, 
0.486, -1.32591, 40.9137, 28.9876, -2.33405, -1.97097, -1.86724, -0.060059, 23.9499, 19.5322, -4.4657, 2.1762, -0.00137686, 
0.586, -1.89415, 44.3232, 30.6654, -2.48965, -0.259339, -1.97097, -0.0597251, 23.9969, 19.6572, -4.55656, 2.14294, -0.00135, 
0.686, -2.4624, 47.7327, 33.9276, -2.54152, -2.07471, -2.48965, -0.0554519, 24.0381, 19.8004, -4.67034, 2.09888, -0.00131595, 
0.786, -3.97772, 50.0057, 32.3431, -2.69712, -1.34856, -2.17844, -0.0475914, 24.0685, 19.9584, -4.80489, 2.04303, -0.00127621, 
0.886, -4.73539, 51.3316, 33.8344, -2.59339, -1.03735, -2.33405, -0.0367406, 24.0813, 20.1257, -4.95627, 1.97467, -0.00123265, 
0.986, -6.44012, 52.0892, 35.885, -2.95646, -2.90459, -2.28218, -0.0238111, 24.0688, 20.2954, -5.11906, 1.89333, -0.00118698, 
1.086, -7.57662, 51.521, 37.0967, -3.83821, -1.55603, -2.54152, -0.0100147, 24.0232, 20.4599, -5.28675, 1.79898, -0.00114019, 
1.186, -8.71311, 50.9527, 35.7918, -2.95646, -1.19296, -2.59339, 0.00326445, 23.9373, 20.611, -5.45228, 1.69202, -0.00109215, 
1.286, -10.4178, 51.3316, 36.4443, -3.06019, -2.33405, -2.59339, 0.0146983, 23.8055, 20.7413, -5.60871, 1.57341, -0.00104147, 
1.386, -11.5543, 54.3622, 37.1899, -3.63074, -3.527, -2.74899, 0.0232862, 23.6249, 20.8444, -5.74985, 1.44469, -0.000985744, 
1.486, -11.7438, 52.4681, 37.2831, -3.47514, -3.94195, -2.90459, 0.0285802, 23.3951, 20.9156, -5.87077, 1.30803, -0.000922138, 
1.586, -12.312, 50.7633, 35.7918, -3.31953, -2.48965, -2.48965, 0.0307765, 23.1193, 20.9523, -5.96826, 1.16614, -0.00084817, 
1.686, -13.4485, 49.248, 35.419, -2.90459, -2.95646, -2.80086, 0.0306323, 22.8039, 20.9545, -6.04099, 1.02217, -0.000762522, 
